item_id,phase_number,phase_name,action_item,parent_item_id,status,completed,notes
1,0,Vision & Strategy,Define financial goals for the venture,,Not Started,false,
2,0,Vision & Strategy,Define target cash flow per property,,Not Started,false,
3,0,Vision & Strategy,Define target portfolio size,,Not Started,false,
4,0,Vision & Strategy,Decide ownership vs. arbitrage,,Not Started,false,
5,0,Vision & Strategy,Decide self-managed ownership vs. co-hosting/management-company model,,Not Started,false,
6,0,Vision & Strategy,Decide luxury vs. budget positioning,,Not Started,false,
7,0,Vision & Strategy,Decide vacation/leisure market vs. urban/business-travel market,,Not Started,false,
8,0,Vision & Strategy,Decide domestic-only vs. international markets,,Not Started,false,
9,0,Vision & Strategy,Define your investment time horizon,,Not Started,false,
10,0,Vision & Strategy,Define your exit strategy,,Not Started,false,
11,1,Partnership & Entity Structure,Define each partner's role and responsibilities,,Not Started,false,
12,1,Partnership & Entity Structure,Define decision-making authority,,Not Started,false,
13,1,Partnership & Entity Structure,Define voting rules,,Not Started,false,
14,1,Partnership & Entity Structure,Define capital contribution rules,,Not Started,false,
15,1,Partnership & Entity Structure,"Define a future capital call process (e.g., unplanned $15K roof repair in year two)",,Not Started,false,
16,1,Partnership & Entity Structure,Define a buyout process,,Not Started,false,
17,1,Partnership & Entity Structure,Define a dispute-resolution process,,Not Started,false,
18,1,Partnership & Entity Structure,Define death/disability provisions,,Not Started,false,
19,1,Partnership & Entity Structure,Define a partner compensation structure (what happens if one partner does more of the actual work?),,Not Started,false,
20,1,Partnership & Entity Structure,Draft and sign the operating/partnership agreement with an attorney,,Not Started,false,
21,1,Partnership & Entity Structure,Decide entity structure: single LLC vs. holding-company-plus-property-level-LLC,,Not Started,false,
22,1,Partnership & Entity Structure,Get EIN(s),,Not Started,false,
23,1,Partnership & Entity Structure,Open dedicated business bank account(s),,Not Started,false,
24,1,Partnership & Entity Structure,Set up bookkeeping and accounting software,,Not Started,false,
25,1,Partnership & Entity Structure,Set up a partner reporting cadence,,Not Started,false,
26,1,Partnership & Entity Structure,Establish a CPA relationship and STR tax strategy,,Not Started,false,
27,2,Market Selection,Build a market evaluation framework,,Not Started,false,
28,2,Market Selection,Define minimum ROI requirements,,Not Started,false,
29,2,Market Selection,Define minimum occupancy thresholds,,Not Started,false,
30,2,Market Selection,Define minimum ADR thresholds,,Not Started,false,
31,2,Market Selection,Define minimum cash flow thresholds,,Not Started,false,
32,2,Market Selection,Research state-level STR regulations,,Not Started,false,
33,2,Market Selection,Research county-level regulations,,Not Started,false,
34,2,Market Selection,Research city-level regulations,,Not Started,false,
35,2,Market Selection,Research zoning restrictions,,Not Started,false,
36,2,Market Selection,Research HOA/covenant restrictions,,Not Started,false,
37,2,Market Selection,Research permitting requirements and timelines,,Not Started,false,
38,2,Market Selection,Research tourism demand drivers,,Not Started,false,
39,2,Market Selection,Research seasonality patterns,,Not Started,false,
40,2,Market Selection,Research local STR competition/saturation,,Not Started,false,
41,2,Market Selection,Research planned future development,,Not Started,false,
42,2,Market Selection,Research airport/drive-time access for your target guest,,Not Started,false,
43,2,Market Selection,Research proximity to major attractions (trailheads, park entrances),,Not Started,false,
44,2,Market Selection,Research local employer base,,Not Started,false,
45,2,Market Selection,Research local economic trends,,Not Started,false,
46,2,Market Selection,Build a market comparison spreadsheet against your thresholds,,Not Started,false,
47,3,Deal Sourcing & Underwriting Skill-Building,Build a realtor network across shortlisted markets,,Not Started,false,
48,3,Deal Sourcing & Underwriting Skill-Building,Identify STR-experienced/STR-friendly agents specifically,,Not Started,false,
49,3,Deal Sourcing & Underwriting Skill-Building,Contact agents in target markets,,Not Started,false,
50,3,Deal Sourcing & Underwriting Skill-Building,Build a deal underwriting model/spreadsheet,,Not Started,false,
51,3,Deal Sourcing & Underwriting Skill-Building,Learn to read AirDNA-style market data,,Not Started,false,
52,3,Deal Sourcing & Underwriting Skill-Building,Learn dynamic-pricing concepts (before you need them live),,Not Started,false,
53,3,Deal Sourcing & Underwriting Skill-Building,Learn comp analysis methodology,,Not Started,false,
54,3,Deal Sourcing & Underwriting Skill-Building,Learn revenue forecasting,,Not Started,false,
55,3,Deal Sourcing & Underwriting Skill-Building,Learn expense forecasting,,Not Started,false,
56,3,Deal Sourcing & Underwriting Skill-Building,Learn debt-service analysis,,Not Started,false,
57,3,Deal Sourcing & Underwriting Skill-Building,Learn cap rate calculations,,Not Started,false,
58,3,Deal Sourcing & Underwriting Skill-Building,Learn cash-on-cash return calculations,,Not Started,false,
59,3,Deal Sourcing & Underwriting Skill-Building,Build a deal tracker/pipeline spreadsheet,,Not Started,false,
60,3,Deal Sourcing & Underwriting Skill-Building,Set up MLS saved searches,,Not Started,false,
61,3,Deal Sourcing & Underwriting Skill-Building,Build a daily/weekly listing-review cadence,,Not Started,false,
